site,date_time,discharge,notes
4198000,1/3/2017 15:30,342,cubic feet per second
4198000,1/3/2017 16:00,342,cubic feet per second
4198000,1/3/2017 16:30,342,cubic feet per second
4198000,1/3/2017 17:00,342,cubic feet per second
4198000,1/3/2017 17:30,342,cubic feet per second
4198000,1/3/2017 18:00,342,cubic feet per second
4198000,1/3/2017 18:30,342,cubic feet per second
4198000,1/3/2017 19:00,349,cubic feet per second
4198000,1/3/2017 19:30,349,cubic feet per second
4198000,1/3/2017 20:00,349,cubic feet per second
4198000,1/3/2017 20:30,356,cubic feet per second
4198000,1/3/2017 21:00,356,cubic feet per second
4198000,1/3/2017 21:30,364,cubic feet per second
4198000,1/3/2017 22:00,364,cubic feet per second
4198000,1/3/2017 22:30,371,cubic feet per second
4198000,1/3/2017 23:00,378,cubic feet per second
4198000,1/3/2017 23:30,378,cubic feet per second
4198000,1/4/2017 0:00,386,cubic feet per second
4198000,1/4/2017 0:30,393,cubic feet per second
4198000,1/4/2017 1:00,393,cubic feet per second
4198000,1/4/2017 1:30,401,cubic feet per second
4198000,1/4/2017 2:00,409,cubic feet per second
4198000,1/4/2017 2:30,409,cubic feet per second
4198000,1/4/2017 3:00,416,cubic feet per second
4198000,1/4/2017 3:30,424,cubic feet per second
4198000,1/4/2017 4:00,432,cubic feet per second
4198000,1/4/2017 4:30,440,cubic feet per second
4198000,1/4/2017 5:00,457,cubic feet per second
4198000,1/4/2017 5:30,466,cubic feet per second
4198000,1/4/2017 6:00,483,cubic feet per second
4198000,1/4/2017 6:30,500,cubic feet per second
4198000,1/4/2017 7:00,528,cubic feet per second
4198000,1/4/2017 7:30,546,cubic feet per second
4198000,1/4/2017 8:00,575,cubic feet per second
4198000,1/4/2017 8:30,595,cubic feet per second
4198000,1/4/2017 9:00,626,cubic feet per second
4198000,1/4/2017 9:30,657,cubic feet per second
4198000,1/4/2017 10:00,679,cubic feet per second
4198000,1/4/2017 10:30,712,cubic feet per second
4198000,1/4/2017 11:00,747,cubic feet per second
4198000,1/4/2017 11:30,782,cubic feet per second
4198000,1/4/2017 12:00,819,cubic feet per second
4198000,1/4/2017 12:30,869,cubic feet per second
4198000,1/4/2017 13:00,909,cubic feet per second
4198000,1/4/2017 13:30,963,cubic feet per second
4198000,1/4/2017 14:00,1020,cubic feet per second
4198000,1/4/2017 14:30,1060,cubic feet per second
4198000,1/4/2017 15:00,1120,cubic feet per second
4198000,1/4/2017 15:30,1200,cubic feet per second
4198000,1/4/2017 16:00,1270,cubic feet per second
4198000,1/4/2017 16:30,1330,cubic feet per second
4198000,1/4/2017 17:00,1400,cubic feet per second
4198000,1/4/2017 17:30,1450,cubic feet per second
4198000,1/4/2017 18:00,1530,cubic feet per second
4198000,1/4/2017 18:30,1580,cubic feet per second
4198000,1/4/2017 19:00,1640,cubic feet per second
4198000,1/4/2017 19:30,1690,cubic feet per second
4198000,1/4/2017 20:00,1740,cubic feet per second
4198000,1/4/2017 20:30,1780,cubic feet per second
4198000,1/4/2017 21:00,1830,cubic feet per second
4198000,1/4/2017 21:30,1870,cubic feet per second
4198000,1/4/2017 22:00,1920,cubic feet per second
4198000,1/4/2017 22:30,1950,cubic feet per second
4198000,1/4/2017 23:00,1990,cubic feet per second
4198000,1/4/2017 23:30,2020,cubic feet per second
4198000,1/5/2017 0:00,2060,cubic feet per second
4198000,1/5/2017 0:30,2080,cubic feet per second
4198000,1/5/2017 1:00,2090,cubic feet per second
4198000,1/5/2017 1:30,2120,cubic feet per second
4198000,1/5/2017 2:00,2140,cubic feet per second
4198000,1/5/2017 2:30,2160,cubic feet per second
4198000,1/5/2017 3:00,2170,cubic feet per second
4198000,1/5/2017 3:30,2170,cubic feet per second
4198000,1/5/2017 4:00,2190,cubic feet per second
4198000,1/5/2017 4:30,2200,cubic feet per second
4198000,1/5/2017 5:00,2200,cubic feet per second
4198000,1/5/2017 5:30,2220,cubic feet per second
4198000,1/5/2017 6:00,2220,cubic feet per second
4198000,1/5/2017 6:30,2220,cubic feet per second
4198000,1/5/2017 7:00,2230,cubic feet per second
4198000,1/5/2017 7:30,2230,cubic feet per second
4198000,1/5/2017 8:00,2250,cubic feet per second
4198000,1/5/2017 8:30,2250,cubic feet per second
4198000,1/5/2017 9:00,2270,cubic feet per second
4198000,1/5/2017 9:30,2270,cubic feet per second
4198000,1/5/2017 10:00,2280,cubic feet per second
4198000,1/5/2017 10:30,2300,cubic feet per second
4198000,1/5/2017 11:00,2300,cubic feet per second
4198000,1/5/2017 11:30,2310,cubic feet per second
4198000,1/5/2017 12:00,2330,cubic feet per second
4198000,1/5/2017 12:30,2350,cubic feet per second
4198000,1/5/2017 13:00,2360,cubic feet per second
4198000,1/5/2017 13:30,2380,cubic feet per second
4198000,1/5/2017 14:00,2380,cubic feet per second
4198000,1/5/2017 14:30,2400,cubic feet per second
4198000,1/5/2017 15:00,2430,cubic feet per second
4198000,1/5/2017 15:30,2430,cubic feet per second
4198000,1/5/2017 16:00,2440,cubic feet per second
4198000,1/5/2017 16:30,2460,cubic feet per second
4198000,1/5/2017 17:00,2460,cubic feet per second
4198000,1/5/2017 17:30,2480,cubic feet per second
4198000,1/5/2017 18:00,2480,cubic feet per second
4198000,1/5/2017 18:30,2480,cubic feet per second
4198000,1/5/2017 19:00,2490,cubic feet per second
4198000,1/5/2017 19:30,2490,cubic feet per second
4198000,1/5/2017 20:00,2490,cubic feet per second
4198000,1/5/2017 20:30,2490,cubic feet per second
4198000,1/5/2017 21:00,2490,cubic feet per second
4198000,1/5/2017 21:30,2490,cubic feet per second
4198000,1/5/2017 22:00,2490,cubic feet per second
4198000,1/5/2017 22:30,2480,cubic feet per second
4198000,1/5/2017 23:00,2480,cubic feet per second
