Date,Time,Site,Unit ID,User ID,°C-19D104366,mmHg-19G101790,DO %-17C105036,DO %L-17C105036,DO mg/L-17C105036,SPC-uS/cm-19D104366,C-uS/cm-19D104366,nLFC-uS/cm-19D104366,TDS mg/L-19D104366,SAL-PSU-19D104366,pH-17C104424,pH mV-17C104424,NTU-15D102653,TSS mg/L-15D102653,Phycocyanin RFU-15B101563,Phycocyanin ug/L-15B101563,Chlorophyll RFU-15B101563,Chlorophyll ug/L-15B101563,Wiper V-15D102606,Cable V-19G101790,Batt V-19G101790,ALT m-19G101790,Lat-19G101790,Lon-19G101790
8/15/2023,9:23:44 AM,A1_MuddyCreek,,,23.464,739.7,68,69.9,5.77,615.2,597.1,617,400,0.3,8.25,-103.9,66.15,0,3.97,4.15,11.43,45.67,1.194,12.2,0,99.9,89.99999,180
8/15/2023,9:45:41 AM,A2_ODNR4,,,23.67,739.7,74.8,76.8,6.32,534.4,520.8,535.8,347,0.26,8.31,-107.3,25.94,0,3.24,3.39,8.68,34.67,1.194,12.2,0,99.9,89.99999,180
8/15/2023,10:06:25 AM,A3_ODNR6,,,23.648,739.8,70.4,72.4,5.96,525.1,511.5,526.4,341,0.25,8.1,-95,21.05,0,3.84,4.01,3.7,14.72,1.194,12.2,0,99.9,89.99999,180
8/15/2023,10:27:30 AM,A4_Bridge,,,23.606,739.9,77.8,79.9,6.59,447.1,435.2,448.3,291,0.21,8.43,-114,26.86,0,4.04,4.22,5.63,22.44,1.194,12.2,0,99.9,89.99999,180
8/15/2023,10:57:37 AM,A5_ODNR2,,,23.629,739.9,84.3,86.7,7.14,371.9,362.2,372.9,242,0.18,8.67,-127.8,13.6,0,3.17,3.31,5.32,21.21,1.194,12.2,0,99.9,89.99999,180
8/15/2023,11:15:59 AM,A6_Buoy2,,,23.647,740.1,87.8,90.2,7.43,364.6,355.2,365.6,237,0.17,8.63,-125.6,10.87,0,3.23,3.37,4.26,16.99,1.195,12.2,0,99.9,89.99999,180
8/15/2023,11:34:15 AM,A7_ODNR1,,,23.688,740.2,89,91.4,7.53,350,341.2,350.8,227,0.17,8.65,-126.9,9.55,0,2.99,3.12,4.01,15.96,1.195,12.2,0,99.9,89.99999,180
8/15/2023,11:55:23 AM,A8.1_EC1163,,,23.808,740.1,92,94.5,7.77,349.7,341.7,350.5,227,0.17,8.72,-130.8,9.45,0,2.74,2.86,3.9,15.52,1.194,12.2,0,99.9,89.99999,180
8/15/2023,12:13:03 PM,A8_Causeway,,,23.572,740.2,92.8,95.4,7.87,357.8,348.1,358.8,233,0.17,8.52,-119.4,13.37,0,2.36,2.46,6.28,25.05,1.196,12.2,0,99.9,89.99999,180
8/15/2023,12:33:33 PM,A9_Bells,,,24.292,740,99.8,102.6,8.35,278,274.2,278.3,181,0.13,8.73,-131.5,1.96,0,1.24,1.29,2.58,10.26,1.196,12.2,0,99.9,89.99999,180
