Date,Time,Site,Unit ID,User ID,°C-19D104366,mmHg-19G101790,DO %-17C105036,DO %L-17C105036,DO mg/L-17C105036,SPC-uS/cm-19D104366,C-uS/cm-19D104366,nLFC-uS/cm-19D104366,TDS mg/L-19D104366,SAL-PSU-19D104366,pH-17C104424,pH mV-17C104424,NTU-15D102653,TSS mg/L-15D102653,Phycocyanin RFU-15B101563,Phycocyanin ug/L-15B101563,Chlorophyll RFU-15B101563,Chlorophyll ug/L-15B101563,Wiper V-15D102606,Cable V-19G101790,Batt V-19G101790,ALT m-19G101790,Lat-19G101790,Lon-19G101790
7/25/2023,10:31:24 AM,A1_MuddyCreek,,,25.181,747.5,131.6,135.2,10.82,543.9,545.7,543.7,354,0.26,8.41,-113.2,45.03,0,3.26,3.41,20.71,82.81,1.2,12.2,0,99.9,89.99999,180
7/25/2023,10:56:48 AM,A2_ODNR4,,,24.936,747.5,99.5,102.2,8.22,510.4,509.8,510.5,332,0.25,8.73,-131.9,39.08,0,3.22,3.36,11.72,46.82,1.2,12.2,0,99.9,89.99999,180
7/25/2023,11:20:39 AM,A3_ODNR6,,,24.97,747.7,98.1,100.8,8.1,489.7,489.4,489.7,318,0.23,8.88,-140.6,16.69,0,5.19,5.43,6.31,25.16,1.2,12.2,0,99.9,89.99999,180
7/25/2023,11:46:54 AM,A4_Bridge,,,25.473,747.7,108.2,111.2,8.86,443.8,447.8,443.4,288,0.21,8.95,-144.9,17.73,0,5.02,5.25,3.36,13.36,1.2,12.2,0,99.9,89.99999,180
7/25/2023,12:29:54 PM,A4_Bridge,,,25.893,747.7,101.8,104.6,8.26,382,388.6,381.3,248,0.18,8.92,-143.1,11.27,0,2.61,2.72,6.57,26.21,1.2,12.2,0,99.9,89.99999,180
7/25/2023,12:30:17 PM,A5_ODNR2,,,25.433,747.7,112.1,115.1,9.18,384.8,388,384.5,250,0.18,8.94,-143.9,11.58,0,2.63,2.75,6.27,25.03,1.2,12.2,0,99.9,89.99999,180
7/25/2023,12:51:25 PM,A6_Buoy2,,,25.954,747.7,129.1,132.7,10.47,353.2,359.7,352.5,230,0.17,9.1,-153.5,5.75,0,2.28,2.37,6.16,24.57,1.2,12.2,0,99.9,89.99999,180
7/25/2023,1:08:39 PM,A7_ODNR1,,,25.95,747.7,117.3,120.6,9.52,400.1,407.3,399.3,260,0.19,9.06,-151.1,11.09,0,3.35,3.5,4.09,16.28,1.2,12.2,0,99.9,89.99999,180
7/25/2023,1:26:15 PM,A8.1_EC1163,,,25.74,747.7,125.7,129.2,10.24,363.1,368.2,362.5,236,0.17,9.13,-155.1,8.93,0,3.09,3.23,4.69,18.71,1.2,12.2,0,99.9,89.99999,180
7/25/2023,1:45:20 PM,A8_Causeway,,,26.34,747.7,110.2,113.2,8.88,339.3,348,338.4,221,0.16,8.87,-140.2,6.69,0,1.19,1.24,4.13,16.44,1.2,12.2,0,99.9,89.99999,180
7/25/2023,2:07:10 PM,A9_Bells,,,25.896,747.7,123.4,126.7,10.02,277,281.8,276.5,180,0.13,8.98,-146.6,-0.12,0,0.58,0.59,1.17,4.62,1.2,12.2,0,99.9,89.99999,180
