Date,Time,Site,Unit ID,User ID,°C-19D104366,mmHg-19G101790,DO %-17C105036,DO mg/L-17C105036,SPC-uS/cm-19D104366,C-uS/cm-19D104366,nLFC-uS/cm-19D104366,TDS mg/L-19D104366,SAL-PSU-19D104366,pH-17C104424,pH mV-17C104424,NTU-15D102653,TSS mg/L-15D102653,Phycocyanin RFU-15B101563,Phycocyanin ug/L-15B101563,Chlorophyll RFU-15B101563,Chlorophyll ug/L-15B101563,Wiper V-15D102606,Cable V-19G101790,Batt V-19G101790,ALT m-19G101790,Lat-19G101790,Lon-19G101790
8/2/2023,11:51:34 AM,Site 1,,,25.042,749.7,111.7,9.21,550.4,550.8,550.4,358,0.27,8.78,-134.7,19.44,0,2.85,2.98,8.5,33.94,1.198,12.2,0,99.9,89.99999,180
8/2/2023,12:02:57 PM,Site 2,,,25.84,749.7,118.9,9.66,551.4,560.3,550.5,358,0.27,8.86,-139.4,25.56,0,2.62,2.73,8.58,34.28,1.199,12.2,0,99.9,89.99999,180
8/2/2023,12:06:41 PM,Site 3,,,25.816,749.6,118,9.59,549.7,558.2,548.8,357,0.26,8.85,-139.3,27.88,0,2.94,3.07,9.98,39.88,1.199,12.2,0,99.9,89.99999,180
8/2/2023,12:12:18 PM,Site 4,,,25.607,749.7,104.4,8.52,547.2,553.5,546.5,356,0.26,8.72,-131.7,29.75,0,3.52,3.68,12.09,48.33,1.198,12.2,0,99.9,89.99999,180
